,label,text_changed
8904,0,marisol perez  penoso partido morado secretaria general ppc afirmo aventuras politicas terminan
33757,1,mesa femenina multipartidaria arlette contreras frente amplio alexandra ames peru  shy
14407,2,cambiaria cambiaria cambiaria mujer bella mundo ojos
35808,2,voto escuchar debo replantearme cara nervios  hablaron hablaron
31924,0,claraeospinag cuarto adivinemos renunciara presentaria esposa partidaria conferencia prensa fugaria peru calmen acudira  gorriti gorriti vizcarra ayuda renunciaran
20656,0,perunoticiashoy mora seguira carrera deje  campa campa
24113,0,partido morado blinda  delitos fuerzapopular noakeiko fujimorinuncamas
8777,0,escandaloesta  noche noche programa cuarto entrevista lider cuestiono video seguridad excandidato presidencial habria cena romantica secretaria partido
28927,0,infidelidad julioguzmanperu  rodgonzalezl magalyperu cuarto gente fujimorista seria comentar fuga chino japon
20070,0,prueba alianza complice  accionpopular accionpopular votos contundentes fuerzapopular sospe
9223,1,candidatos delperu vamosperu protagonizaron debate subido tono  llevo candidato doyl
25665,2,elperu propone funcionarios publicos pasen poligrafo  propuestas propuestas propuestas unequipoquejuegalimpio ppc
2669,0,fuerzapopular elegir personajes ingresan pagando dinero
32761,1,entrevistaen minutos estare nportada veronica linares mario ghibellini compaiendo  propuestas propuestas propuestas candidato congreso mppc
27834,2,demandante congreso republica lima ricardo rivera romero marca escribe numero fuerzapopular
1460,0,viva cateriano reconocido libremente colaboro  huida huida huida huida alan garcia
8541,1,tema0902 caudiaangelica partidomorado jesus garcia miguel angel ruiz bardales  mabeltaniaocho2 mabeltaniaocho2 mabeltaniaocho2 elizabeth vasquez gatica
13175,0,extracto cinico  resto entrevista guru suficiente confirmar vean entrevista completa
16897,0,erickdiax pbodigital zenaidasolisg periodista descubre ridicula ingenuidad captar  costa dignidadrecuerda entrevista vivo preguntar queria dejaban latina
5182,2,quintanilla  domingo ohhh ultimos dias elotado
6616,1,mauricio mulder almuerzo  video video video
21683,2,sacaremos  cara cara clara
33248,0,ana viernes nerviosa sentir ukai triste  rato rato
7882,2,me7777 voto domingo decidido morado  cavilar cosa
33035,1,katy like instagram dias vieron  juntos juntos juntos
15490,1,abordo candidata gabriela  salvador salvador salvador salvador encuestas electorales
15463,0,mauricio  mulder mulder peores congresistas congreso
26260,1,alcohol lindo duro
20466,0,fernando merino excusas morado caso estupidisimas  oficinas oficinas oficinas dand
14920,1,domingo obligados contratar malos plantilla imploran congreso actuemos responsables empleadores fuerza popular apra solidaridad nacional  contigo contigo contigo ppc alianza progreso accion popular union peru
24662,0,tiembla escandalo incendio absoluto falso tendran baja incidencia
30609,0,peru vigilantes esperar consulta fraude elecciones  puedan puedan puedan favorezcan algun congresista corrupto mauricio mulder
10262,1,radio ribere  programa programa voz victoria vicky rodriguez exponiendo propuestas
16343,0,canalhsj adivinen guzman renuncia morado presentara esposa partidaria  prensa
21485,1,marisol perez tello penoso  morado
28980,2,gracias consideracion impulsan meterme politica construir confianza devolver politica  ciudadanos ciudadanos ciudadanos
5713,0,cifras
3332,2,ursula  moscoso moscoso detiene
14248,0,kaf mujer llena puntos  rojos rojos gusta
1940,1,pedro cateriano arremetio mauricio  mulder mulder hector becerril
28719,0,postula denuncia maltrato formulo  esposa esposa esposa
21005,0,jorgevillenal blogcyh lider mantenido conglomerado reclusion comunistas  antifujimoristas antifujimoristas antifujimoristas antifujimoristas rabiosos  antifujimoristas antifujimoristas antifujimoristas antifujimoristas convenidos pro dictadura principios puesto acuerdo
23660,0,paraiso socialista castro chavista  ofrece ofrece ofrece manos inoperancia
36130,2,elperu propone funcionarios publicos pasen  propuestas unequipoquejuegalimpio ppc
21155,0,rosmemostace parecen preguntas validas esposa mantiene apoyo finalidad carrera politica tipo juntandose depa  especificacixc3xb3n indicas queda lealtad
33157,0,recuerdo dijiste  odiabas odiabas odiabas superficial mencionas dinero ganas compras
5465,2,super super super super junior escape malas pasan vida apoyarlos veo obligacion
12458,0,vida pasion lider cuyo  paradero paradero paradero paradero desconocidosigue
34318,0,congreso burdel  candidata candidata candidata clara
22289,0,personas
17700,1,elecciones2020 guia antifujimorista 26e ocram palabras  fuji apro solidaria satelites
1813,2,mauricio  deberia fiscalizar partido
22596,0,esperando esperando esperando metropolitano minutos
89,2,ven aca abrazo fuerte fisicamente estuviera haria dejaras sentirte  mal mal mal mal
2231,2,semana confien votos caballos troya partidos encubiertos  respaldaran respaldaran respaldaran corrupcion enquistada peru junin quiero defiendo
10490,1,alcalde  alvaro paz barra autoriza traba
13173,1,eleccion equipo versus llaneros solitarios
16240,1,blume rechaza ponencia ramos carlosramos considerar congreso confianza seria tinterillada pbodigital butters olaechea blume  tribunalconstitucional ledesma peru fuerzapopular vitocho lima
31235,0,odio desprecio cabecilla organizacion criminal denominada fuerzapopular pais inconmensurable  llena llena curules adefesios cobrar diezmo contar votos plenos razon pone trogloditas
18969,1,dias partidos superarian valla electoral  desmora
121,2,viene
33067,1,pense  fresa emocionado
100,0,sale feliz prepa pronto trafico  calamidad llegue casa
19389,2,manifestarle psra disgusto mauricio mulder elegido  enero
23832,2,orden fiscalizacion enero acabaron vacaciones presidente marca
22207,0,tipo reemplazo dejando area lleno  problemas problemas problemas llamo apaga celular
11348,1,mercedes soriano uruguay
12297,2,me7777 voto domingo decidido  azulado pensar cosa
12119,0,charitoabc lema morados  morado pone morada daniel mora mimp peru peru
22617,2,partido  chico rechazo chiclayo peru
136,2,bebe bebe reniega hambre comio monton reniega llena linda
11839,2,eleccionescongresales2020  marquemos marquemos escribe numero congreso fuerzapopular reperando mayoria opositora
23522,1,vote leonardo  mendez mendez mendez garita regidor caago 2020 2024 maestria administracion proyecto
20314,2,fuerzapopular terror comunistas venceremos nuevamente terror urnas permitiremos ningun comunista someta  peru peru empobrecimiento pais cambiar retomando sendas justicia devolviendole derecho perdido fuerzanaranja k35
13343,0,papay seas  regulacion defensa civil recepcion debia extintor pregunto tenian jodas alberto belaunde crees gente cojuda creera cuentazo
17158,2,vidalpercyc patriciagamarra julioguzmanperu  dmorazevallos dmorazevallos organizaciones personas partido morado trabajando construir pais ciudadanos conscientes invito leer propuestas web
1414,1,notoria notoria distancia lima provincias partido morado alianza progreso
12858,2,parodirevoredo accionpopular noakeikope  hugonopo hugonopo argollatv accion popular considero elecciones fujiaprimo voto conviccion
736,2,vida coincidir personas realmente  increibles increibles
10689,1,empezamos empezamos memorex accion popular alianza progreso contigo unieron fuerza popular apra
28672,2,triciclodelperu foxdarwin776 mora lista resaltar partido morado blinda partido morado exigio daniel mora presentar renuncia pronunciaron  compromiso
4911,1,termine termine termine inktober hermano podre subir esperare pasen dias subirlos juntos adivinen dibuje
2278,1,frente amplio  invitan sociedad civil partidos politicos san cristobal andres bello capacho guasimos cordoba torbes encuentro zonal bloque parlamentario asamblea nacional
7512,0,jajajaja cree  encuestasoratrucha encuestasoratrucha fujimorismo fuerzapopular terrorismonuncamas
5947,1,razon  razon servia intereses peru
1430,1,regresar mauricio mulder seguir saqueando arcas medio  cxc3xa1mara dom
547,1,yeah intente  but but veia oscuro dasanime estaria fandom haga
6883,2,verdaderos partidos politicos necesaria reforma  peruanos exterior representacion
21212,0,antecedentes candidatos pegadores dmorazevallos deudores alimentos julioguzmanperu atentos mauriciomulder esquinabaja bellatrixtoo video combutters recien subido
1887,1,mulder atreva challenge
10037,0,palabras palabras corazon triste recien horas entere chalena vasquez partio mundo aun
8562,0,vrpt7 hipocresia antecedentes candidatos pegadores dmorazevallos deudores alimentos julioguzmanperu atentos mauriciomulder esquinabaja  bellatrixtoo bellatrixtoo bellatrixtoo video combutters recien subido
6149,1,alianza  exaprista exalcalde querocotillo moises gonzalez cruz investiga
8433,2,mlukacs limpiaron cancha mora guzman due estando paso elecciones 2021  seran seran seran
28406,2,chechechacon guzman parar recorrido juliaca responder prensa  corruptos corruptos digan sale salen miembros partido salen partido sale avanzando
19950,2,candidata congreso republica lima carmen balabarca flores marca escribe numero  fuerzapopular fuerzapopular
7013,0,rasgan vestiduras aprobacion ley anti saqueos barricadas nosotr olvidamos votaron favor discutio
11045,0,ratas apristas fujimoristas  unidos unidos
23654,1,herencia muestra perverso tragedia familiar presente causar diputada electa pae brazo politico
951,0,miembros bancada disuelta actuaron consecuencia partidaria doctrinaria representaba  militancia principios deberan responder pais partido actos
9359,2,voto  apoderado evalua proyectos ppc unequipoquejuegalimpio debateece2020 debatepovperu
24928,2,partidomorado  seamos seamos seamos sigamos fomentando
1321,0,aun defino votar fuerza  conocido apra solidaridad nacional alianza progreso contigo
10896,0,eliminaron mauricio mulder trolls vizcarristas perro guardian peco  ego ego colosal saldran congresistas apristas elegido dedo sueldo congresal alcanza peru deja enga peru aborrece apra
33176,0,2016 2016 2016 simplemente vas
31423,2,gracias comerciantes mercado ramon  castilla castilla escucharon propuestas fiscalizaremos cumplimiento ley 30797 colegios publicos prevencion conductas riesgo psicologapenitenciaria fuerzapopular elecciones2020
28824,0,partido morado  sinverguenza sinverguenza pudiste infiel esposa mantenia peor fuiste corriendo hotel velar salud acompa
35634,0,asco caviares izmierdistas  comunistas comunistas comunistas socios
26184,0,arta digan dificil  sacrificada sacrificada sacrificada tienes estudiar mierda
12374,1,perunoticiashoy jee indico evaluarian caso daniel mora presenta
29381,1,miguel soria ppctodo funcionario ingresar pasando poligrafomuy idea ppc  debateece2020 debateece2020 debateece2020
32260,0,joder  delicado resulto tremendo desleal cobarde mujer olla miserable paga
3768,0,portada frospigliosi jradzinsky verolinaresc canaln preguntas rpta  pago pago pago chifa compro velas decoro depa  pago pago pago asumio perjuicios edificio vecinos aparece parten policial oculto informacion
4479,2,voto  mejores mejores unico enfrentar fujis apristas
13934,1,sentimientos sentimientos sentimientos odio despedidas estare emocional retos venir
1312,0,gobperu peru periodista daniel yovera favor deber caso luces delito alcalde  luces campa esposa alianza progreso
13480,1,demandante lucho apoyado aspirantes cargos politicos conoce propuestas
32733,0,partidos mierdapsncontigoppcapra pasaran valla preocuparse s informar medios compoamiento  hdp vitocho
12934,2,silvanacastagn5 walo tas fumado votar peruano frente julianaoxenford alberto belaunde  defendiendo cars palo julioguzmanperu votare frenteampliope ojo cerrado hazme caso intimo
8899,0,votos julio guzman acaso jalo  voto campa candidatos guzman subio coche iran apra contigoetc represemtan antipodas apra detras
14347,0,pasa cristo fortalece dios batallas  jajajaja
19510,0,voto blanco viciado faborece partidos solidaridad rosa bartra apra mauricio
28280,1,guzman manifesto agrupacion lidera solicito formalmente jne exclusion general  aislamiento comicios extraordinarios
4370,2,avanzando propuestas austeridad ataques  firmes lucha corrupcion
5031,0,penoso desconocimiento diversas realidades peru anda  clasico
18555,2,aplauso diego luna  felicity felicity felicity jones estruendoso ganas rogue one
20406,0,canalhsj adivinen morado presentara esposa partidaria conferencia  prensa prensa prensa prensa busc
4466,0,20la moraditos  sabia sabia denuncia golpeo piso acusa fiscalia caviarada tanta fuerza protegen patadas
27283,2,ana participare programa  marca
4150,2,necesita
16373,0,duchodepe  debacle morado recuerdan destruyo partido comploto
12661,0,cualchata fatimatv cosa llamativa fotos incendio supone cita romantica velas flores corazones habian  comida vasos tragones orgia reunion corazones lider
11245,2,carril linda
15786,1,ana  maes maes maes maes estare debate electoral universidad san marcos cordialmente invitados ingreso libre pasa voz
10903,0,recta recta recta final mauricio mulder encabeza preferencia electores lima
11914,2,listos empezar  fuerza fuerzapopular
33085,0,jefe  momentos necesita opinion ingrese
6246,0,aca infiel lider fiel amigo  mulder
34797,0,alerta peruanos prohibido votar blanco viciado voto nulo blanco hora repartir esca favorecen fuerzapopular apra solidaridadnacional alcanzar valla mantener inscripcion recibirian  curules curules curules curules congreso 2020
15416,0,compa ero  mauricio mauricio mulder autor leyes anticonstitucionales vocacion democratica furgon cola fujimorismo
2764,1,madre familia hijo joven  sale sale estudiar pido dios proteja
26416,0,partidos tradicionales furgon cola fujimorismo pruebas  posicion olvidemos
4627,2,peru ppc  impulso lucha anticorrupcion poligrafo autoridades manejen
3429,0,salieron presentando renuncia elecciones congresales expresando solidaridad apoyo pobre anciana masacrada golpes compa ero  partidaria
22107,0,rayos pintan aletica pistas  cuarto cuarto cuarto cuarto apesta huevada
24926,0,partidomorado partidomorado claro encuestas truchas cualquiera trae pegalones proterrucos chupasangres reciclados
22594,0,broder pinxe trafico salaverry upc jodas llegar  anochecer
16043,0,abogada keiko acaba alar organizacion criminal cuellosblancos concluido  corte espa peru olvida conclusion produce gracias blindaje organizacion criminal fuerzapopular
25983,1,vales  coquetos
1599,0,viendo entrevista nicolas  mulder serio  interlocutor frente arruga cohibe limita trasladar preguntar plantearle interrogantes tibias gente discutamos mauricio rie consecuente
29318,0,casablancael ppc llevando filas infame fuadkhoury contralor  republica republica cruciales 2009 2016 gestion detecto negociados clubdelaconstruccion oas odebrect peruanosabranlosojos
942,0,pedimos elecciones pasadas  sacaran sacaran sacaran sujeto peru tantos jovenes piden cambio sujeto atrincherado muchisimo basta
10076,2,llevo meses talvez ense aron  demostraron demostraron demostraron demostraron magico
27118,0,forever69 forsyth oficial psn nuevamente decepcionas mauricio mulder fujimorismo
8528,1,rppnoticias pasaria  catxc3xa1logo regalan pasamonta
919,1,partidos politicos carecen  popular siguenos youtube articulos
13966,0,penoso desconocimiento  diversas diversas realidades peru anda preocupada clasico
1431,1,candidato congreso apra mauricio  defendio presencia inmunidad parlamentaria
21019,1,juliocesar ruiz justo esperaron semana votaciones antojo 2018 paso fregaba fiesta demas
7589,2,empezamos empezamos fuerza mercado virgen carmen huayrona san juan lurigancho distrito
4852,1,tienes  ppc ppc 2020 webinar porsantibanez pierdas
24235,0,alain dc87
30646,0,pregunto hubiese denuncia exactamente mauricio mulder  opinaria opinaria opinaria
30129,2,nataly baltodano candidata numero mujer fuerte  guerrera guerrera conviccion representa mujer peruana implementara politicas permitan mujer vivir ciudad segura justa
915,1,radio ribere programa  aullido victoria vicky rodriguez exponiendo propuestas
4033,0,viene nombre daniel morado deja pasaron
30682,0,sinverguenza rata pelada mauricio mulder congreso ahorrar pagan vagos viaticos combustible sueldo bonos bono entran  congresistas congresistas ademas gollerias roban
7950,0,perunewsletters jee  indico indico evaluarian caso daniel mora presenta renuncia
5244,1,extra  tweet fijado
16582,0,perunewsale marisol perez tello penoso elpartidomorado  asesorxc3xada general ppc afirmo
27913,0,accionpopularap accionpopularap accionpopularap fujimorear adversarios explicaciones pais huyen
4693,1,ganascuanto ganascuanto ganaste hoycuanto gano peru acciones hoyhuachanojkmentalidad ganadora fomentando depoeppc partido juega limpio
675,0,dias perritos lucian tristes pesimas condiciones hayan rescat
19528,0,blindo blindo blindo corrupto juez hinostroza tenia voto congresista aprista mauricio mulder cambiar voto salvarlo acusacion organizacion criminal votos blindaron chavarry
7672,0,canalhsj pbo digital morado chupodromo comunistas  caviares caviares hueveras antifujimoristas abusadores sexolocas
11714,0,pedistecierredelkongrezoo sigues pensando votar korruptos blindan  organizaciones criminales kuellosblancos fuerzapopular apra quienteentiendeperu
12843,0,notifalcon probable cree brigada especial
18060,0,pense  podia podia podia podia empeorar sali finales acaban
16848,0,capital967  hablan chamuscado
11708,0,hebeas copus srak dejo libre resolucion decian  banda fuerzapopular
21406,0,guzman viva imagen  dios libre verguenza
12196,0,hersegami noticiamerica guzman renunciara morado dira  gay gay presentara esposa partidar
7177,2,candidata candidata congreso republica lima carmen balabarca flores marca escribe numero fuerzapopular
27545,2,fujimorismo fujimorismo fujimorismo vivo carmen compromiso seguiremos avanzando fuerzapopular limaco
12692,0,exitosape  renunciara renunciara renunciara dira gay presentara esposa partidaria conferencia prensa huira peru calmen acudira gorriti vizcarra ayuda  renunciara renunciara renunciara
18516,2,pense pense gracias dios siguen juntos
6926,0,propuesta matrimonio homosexual compartido  postura postura ideologica cuestion derechos humanos albeo belaunde creimos disfraza etiqueta
5234,0,pinche amigo  odio odio odio odio
7498,0,queriamos queriamos queriamos fuerzapopular congreso acuerdo disolucion constitucional
22733,1,apellido  fulano fulano fulano fulano representa garcia belaunde
11430,2,permitamos convenza cambiar  enero enero enero enero lograr congreso defienda gente  enero enero enero enero decide vota
24689,0,adrianzeneduard adrianzeneduard adrianzeneduard amr cix jajaja puesta escena malapero difusion arranca tweet capitan pinocho replicado radio bullafelizmente julioguzmanperu piso palito cta campa demolicionfijo ganador lejos
6541,0,campa sucia nauseabundo  julio arbizu agresiones rosa bartra digan perro mauricio mulder contigo
21113,0,patarevalo partido morado chicha limonada indefinido definicion mal menor nuevamente problema  julio julio guzman paso departamento querer quedar mundo
23809,0,ahorita caso delincuente votar  cualquiera cualquiera cualquiera delincuentes fuerzapopular
31538,2,gmosotelo morados negociamos respeto mujer morado
18086,2,amigos dices  afligido planeando salidas viajes futuro quiero
35915,0,explicacion esposa  mujer queman machismo
314,1,vales malo
25434,2,estimados ciudadanos comparto video desinformacion busquemos informacion fuentes confiablespartido morado politica  casto
22901,1,defender algun historia reivindicara
9857,2,cualquiera cumplo persona  vida vida vida vida darme
7244,2,juan carlos gonzales  fuerza fuerza fuerzapopular  fuerza fuerza fuerza victoria final
8483,0,peru21noticias peru21noticias constante enga falsedades reclutamiento antifujimoristas comunistas vizcarristas
29064,0,confirma favoritismo proximo fraude electoral jne peru onpe oficial bryce  moreton daniel mora milagros salazarrosa bara
29514,0,mes  1er fallecida sobrina cumplea madre hermana
7398,2,elecciones2020 votabien candidato fuerzapopular davidavargas taamudea queda habla presentar propuesta  congreso2020 congreso2020 congreso2020 pbodigital lima vizcarra danielmora keiko peru lima
828,0,ayeeer sasuke shinden jajaja  letra letra fea naruto policia militar
22655,0,aparte municipalidades pesima  gestion gestion gestion gestion control partido capacitacion seguimiento condiciones
19891,2,toca votar partidos  esten esten esten vinculados mafias vota queda votare
33662,0,aparato amenaza compa cojera patadas
2098,1,partido politico  votara votara votara elecciones congresales 2020
17624,2,estimados ciudadanos comparto video desinformacion busquemos informacion fuentes confiablespartido morado  cxc3xa1lculo decente
11173,0,capital opinion inmolen patria  necesitamos necesitamos conductor mulder aseguro
12839,0,noticiamerica noticiamerica noticiamerica noticiamerica cinico manoseo falsa moral filosofia pucp puff
29765,2,quiero quiero quiero preciso sincero termina mal
3690,2,julianaoxenford alberto belaunde  julio  sucia mejores candidatos exagerado espero peruanos votemos morado oportunidad acabar mafias enga
17315,1,viernes viernes viernes viernes afirmaba llegara creces congreso pese elaboro oracion signos interrogacion
19172,1,roxana cueva marco vasquez imposible destruir opositores fujiaprismo salio denuncia jorge castillo habia peleado mauricio mulder coincidencia 100 cuarto gobierno  panorama panorama oposicion
11570,2,breves minutos iniciamos entrevistas dejamos fanpages medios puedas seguirlas  chami chami chami radio trujillo proyectos gente elite
24101,1,elecciones 2020  accionpopular accionpopular accionpopular sabido priorizar fuerzapopular victorparedes juventud
7048,1,frente amplio asegura jce  pone pone juego democracia
11667,2,gobierno  fujimorista fujimorista fujimorista construyeron 000 colegios seguro escolar salud programas millon buzos idem
7626,1,humala hbenitez canaln exitosape noticiamerica latina noticias atvmasnoticias willaxtv rppnoticias capital967  elbuho elbuho elbuho
26995,0,peru reforma politica electoral  2021 2021 debaten guillermo ruiz renacimiento unido nacional jose olarte
27341,0,pueblo perdona traicion acordaron  amistad violaciones ddhh aprueban leyes reprimir legitimas protestas salvar presidente ilegitimo tirano terroristas aceptamos vendan
9116,0,volver  elegir
31078,2,candidato congreso republica lima david vargas ramos  cuxc3xb1o escribe numero fuerzapopular lim
18561,2,serie  nota nota interesante verla netflix
21232,0,julioguzmanperu dira daniel mora dira opinar alguien  pertenece pertenece pertenece
1172,0,atencion topos fujimorismo deslindes claros directos mafia
8844,0,jee indico evaluarian  asunto daniel mora presenta renuncia
35693,0,aparece candidato congreso defender leen aire denunciado alumnas  camuflar acoso sexual colectivos acusan
26686,1,votar popular apra frente amplio  anillo progreso jajaja
5793,1,voto voto
28710,0,sabia denuncia golpeo piso acusa fiscalia caviarada tanta fuerza protegen
